Experiment,Config,Description,Val_PR_AUC,Val_ROC_AUC,Val_F1,Threshold,Test_PR_AUC,Test_ROC_AUC,Test_Precision,Test_Recall,Test_F1,TP,FP,FN,TN
Exp 1: Regularization,Reg_1_Baseline,Unregularized,0.400401549921632,0.7896686159844054,0.48034934497816595,0.8437296771433342,0.411325955968616,0.7727554179566564,0.4807692307692308,0.43859649122807015,0.45871559633027525,50,54,64,711
Exp 1: Regularization,Reg_2_L2_Mild,Mild L2 (Frobenius),0.3674337826542742,0.767067996789359,0.462882096069869,0.9707298977970928,0.37206665943344236,0.7615067079463365,0.46078431372549017,0.41228070175438597,0.4351851851851852,47,55,67,710
Exp 1: Regularization,Reg_3_L2_Moderate,Moderate L2 (Frobenius),0.35017612051572083,0.7468524251805986,0.43601895734597157,1.6815880330642268,0.3522112491203023,0.7284027061116845,0.47126436781609193,0.35964912280701755,0.4079601990049751,41,46,73,719
Exp 1: Regularization,Reg_4_L2_Strong,Strong L2 (Frobenius),0.2761179821966192,0.7377135649581469,0.42276422764227645,2.2785729148750704,0.2632326787671201,0.7004471964224287,0.39814814814814814,0.37719298245614036,0.38738738738738737,43,65,71,700
Exp 1: Regularization,Reg_5_L1_Mild,Mild L1 (Sparsity),0.3585627244076105,0.7606237816764132,0.44715447154471544,1.223689387858629,0.35488281448649456,0.7324962733631464,0.4224137931034483,0.4298245614035088,0.4260869565217391,49,67,65,698
Exp 1: Regularization,Reg_6_L1_Moderate,Moderate L1 (Sparsity),0.2765268276909608,0.7258571264763215,0.43636363636363634,2.079527807602793,0.261952242296973,0.6919160646714826,0.44086021505376344,0.35964912280701755,0.3961352657004831,41,52,73,713
Exp 1: Regularization,Reg_7_L1_Strong,Strong L1 (Sparsity),0.21157946277360576,0.5908267400527464,0.31958762886597936,4.792051573721169,0.18820828664325068,0.5533081068684784,0.3150684931506849,0.20175438596491227,0.24598930481283424,23,50,91,715
Exp 1: Regularization,Reg_8_ElasticNet,Elastic Net (50% L1 / 50% L2),0.31069678203852047,0.7347895883499598,0.4192139737991266,1.9247603297322724,0.30175095564848137,0.6997248022015824,0.4329896907216495,0.3684210526315789,0.3981042654028436,42,55,72,710
Exp 1: Regularization,Reg_9_W_Only_L2,Latent Activation W Regularized Only,0.39105039065133806,0.773890608875129,0.4742268041237113,1.099747257169176,0.39201665431865207,0.7553835569315446,0.5507246376811594,0.3333333333333333,0.41530054644808745,38,31,76,734
Exp 1: Regularization,Reg_10_H_Only_L1,Dictionary H Sparse Regularized Only,0.11206140651906296,0.3943355119825708,0.22967479674796748,1.490153905013016,0.13910238262236002,0.439594083247334,0.13043478260869565,1.0,0.23076923076923078,114,760,0,5
Exp 2: Weighted Reconstruction / NMF,NMF + Inv_Variance Recon (Pure),NMF + Weighted Recon Scoring,0.3846206962871143,0.7762297901616787,0.48514851485148514,0.19519324986729863,0.39861247649893383,0.7570003439972479,0.5466666666666666,0.35964912280701755,0.43386243386243384,41,34,73,731
Exp 2: Weighted Reconstruction / NMF,NMF + Inv_Variance Recon (RGAnomaly 0.4),NMF + Weighted Recon Scoring (RGAnomaly),0.3672834389133199,0.7229216832932004,0.4388185654008439,0.10741992986704146,0.37956766027465105,0.7203302373581011,0.371900826446281,0.39473684210526316,0.3829787234042553,45,76,69,689
Exp 2: Weighted Reconstruction / NMF,NMF + Inv_Variance_Norm Recon (Pure),NMF + Weighted Recon Scoring,0.3846206962871143,0.7762297901616787,0.48514851485148514,0.19519324986729863,0.39861247649893383,0.7570003439972479,0.5466666666666666,0.35964912280701755,0.43386243386243384,41,34,73,731
Exp 2: Weighted Reconstruction / NMF,NMF + Inv_Variance_Norm Recon (RGAnomaly 0.4),NMF + Weighted Recon Scoring (RGAnomaly),0.3672834389133199,0.7229216832932004,0.4388185654008439,0.10741992986704146,0.37956766027465105,0.7203302373581011,0.371900826446281,0.39473684210526316,0.3829787234042553,45,76,69,689
Exp 2: Weighted Reconstruction / NMF,NMF + Inv_Std Recon (Pure),NMF + Weighted Recon Scoring,0.4090594869006481,0.7912280701754386,0.4752475247524752,0.053892733004653526,0.4121308383292973,0.7716316936131178,0.5405405405405406,0.3508771929824561,0.425531914893617,40,34,74,731
Exp 2: Weighted Reconstruction / NMF,NMF + Inv_Std Recon (RGAnomaly 0.4),NMF + Weighted Recon Scoring (RGAnomaly),0.2621972333573332,0.6125444329778695,0.2874251497005988,0.09664943068563601,0.2843675898439586,0.6330008026602454,0.423728813559322,0.21929824561403508,0.28901734104046245,25,34,89,731
Exp 2: Weighted Reconstruction / NMF,NMF + Inv_Std_Norm Recon (Pure),NMF + Weighted Recon Scoring,0.4090594869006481,0.7912280701754386,0.4752475247524752,0.053892733004653526,0.4121308383292973,0.7716316936131178,0.5405405405405406,0.3508771929824561,0.425531914893617,40,34,74,731
Exp 2: Weighted Reconstruction / NMF,NMF + Inv_Std_Norm Recon (RGAnomaly 0.4),NMF + Weighted Recon Scoring (RGAnomaly),0.2621972333573332,0.6125444329778695,0.2874251497005988,0.09664943068563601,0.2843675898439586,0.6330008026602454,0.423728813559322,0.21929824561403508,0.28901734104046245,25,34,89,731
Exp 2: Weighted Reconstruction / NMF,NMF + Inv_Train_Recon_MSE Recon (Pure),NMF + Weighted Recon Scoring,0.4584149319214632,0.814000687994496,0.5545454545454546,0.3287271561086564,0.47146093509257425,0.7999312005503956,0.5869565217391305,0.47368421052631576,0.5242718446601942,54,38,60,727
Exp 2: Weighted Reconstruction / NMF,NMF + Inv_Train_Recon_MSE Recon (RGAnomaly 0.4),NMF + Weighted Recon Scoring (RGAnomaly),0.46344380502340676,0.787363834422658,0.5876777251184834,0.16662347322377208,0.4946784659749173,0.7980506822612086,0.6091954022988506,0.4649122807017544,0.527363184079602,53,34,61,731
Exp 2: Weighted Reconstruction / NMF,NMF + Inv_Train_Recon_MSE_Norm Recon (Pure),NMF + Weighted Recon Scoring,0.4584149319214632,0.814000687994496,0.5545454545454546,0.3287271561086563,0.47146093509257425,0.7999312005503956,0.5869565217391305,0.47368421052631576,0.5242718446601942,54,38,60,727
Exp 2: Weighted Reconstruction / NMF,NMF + Inv_Train_Recon_MSE_Norm Recon (RGAnomaly 0.4),NMF + Weighted Recon Scoring (RGAnomaly),0.46344380502340676,0.787363834422658,0.5876777251184834,0.16662347322377208,0.4946784659749173,0.7980506822612086,0.6091954022988506,0.4649122807017544,0.527363184079602,53,34,61,731
Exp 2: Weighted Reconstruction / NMF,Objective Weighted NMF (Inv_Variance_Norm),Objective Column-Weighted NMF,0.39599768028215465,0.760554982226809,0.48034934497816595,1.0726698779738555,0.38477235074699323,0.7288155028093108,0.47572815533980584,0.4298245614035088,0.45161290322580644,49,54,65,711
Exp 2: Weighted Reconstruction / NMF,Objective Weighted NMF (Inv_Std_Norm),Objective Column-Weighted NMF,0.35121820436904183,0.7572182089209953,0.48034934497816595,0.8499815189881023,0.34889403083861603,0.7262469900240798,0.44554455445544555,0.39473684210526316,0.4186046511627907,45,56,69,709
Exp 2: Weighted Reconstruction / NMF,Objective Weighted NMF (Inv_Train_Recon_MSE_Norm),Objective Column-Weighted NMF,0.3736243902311142,0.7850819860107785,0.47843137254901963,0.8713019698845453,0.38573018533981634,0.7558192867790392,0.4057971014492754,0.49122807017543857,0.4444444444444444,56,82,58,683
