Metric,Threshold,Inflation,N_Clusters,Singletons,Clusters_ge_3,Weighted_TP_Purity,Purity_ge_3,Macro_TP_Purity,Dataset
Spearman,0.8,1.5,48,35,7,0.8301886792452831,0.7142857142857143,0.9064171122994653,All Flagged (N=87)
Cosine,0.8,2.0,42,27,9,0.7547169811320755,0.6206896551724138,0.8527777777777777,All Flagged (N=87)
Pearson,0.8,1.5,36,21,8,0.7169811320754716,0.59375,0.843293885601578,All Flagged (N=87)
Manhattan_Laplacian,0.6,2.0,30,12,10,0.660377358490566,0.5277777777777778,0.8257575757575757,All Flagged (N=87)
RBF_Gaussian,0.8,2.0,8,0,8,0.4716981132075472,0.4716981132075472,0.5494204260651628,All Flagged (N=87)
Spearman,0.8,1.5,26,23,2,0.9333333333333333,0.75,0.9710144927536233,FP Filtered (N=35)
Manhattan_Laplacian,0.8,1.5,23,21,1,0.9,0.7,0.985,FP Filtered (N=35)
Cosine,0.8,1.5,17,12,2,0.8,0.6666666666666666,0.9114583333333333,FP Filtered (N=35)
Pearson,0.8,1.5,16,12,2,0.7666666666666667,0.625,0.9,FP Filtered (N=35)
RBF_Gaussian,0.8,1.5,10,6,3,0.6333333333333333,0.5416666666666666,0.8306878306878307,FP Filtered (N=35)
